Periodo,Año,Mes,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Julio 2024,2024,Julio,Navolato,1,3,2,1,7
Julio 2024,2024,Julio,Eldorado,0,0,0,0,0
Julio 2024,2024,Julio,Juan José Ríos,0,0,0,0,0
Agosto 2024,2024,Agosto,Ahome,4,7,0,8,19
Agosto 2024,2024,Agosto,Angostura,0,1,0,1,2
Agosto 2024,2024,Agosto,Badiraguato,2,0,0,0,2
Agosto 2024,2024,Agosto,Concordia,0,2,0,0,2
Agosto 2024,2024,Agosto,Cosalá,0,0,0,0,0
Agosto 2024,2024,Agosto,Culiacán,21,14,0,8,43
Agosto 2024,2024,Agosto,Choix,2,0,0,0,2
Agosto 2024,2024,Agosto,Elota,1,0,0,0,1
Agosto 2024,2024,Agosto,Escuinapa,0,0,0,0,0
Agosto 2024,2024,Agosto,El Fuerte,0,0,0,2,2
Agosto 2024,2024,Agosto,Guasave,2,7,0,4,13
Agosto 2024,2024,Agosto,Mazatlán,1,2,0,27,30
Agosto 2024,2024,Agosto,Mocorito,1,0,0,0,1
Agosto 2024,2024,Agosto,Rosario,1,0,0,1,2
Agosto 2024,2024,Agosto,Salvador Alvarado,0,1,0,1,2
Agosto 2024,2024,Agosto,San Ignacio,0,0,0,0,0
Agosto 2024,2024,Agosto,Sinaloa,0,4,0,2,6
Agosto 2024,2024,Agosto,Navolato,4,5,1,1,11
Agosto 2024,2024,Agosto,Eldorado,0,0,0,0,0
Agosto 2024,2024,Agosto,Juan José Ríos,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Ahome,0,11,0,7,18
Septiembre 2024,2024,Septiembre,Angostura,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Badiraguato,2,0,0,0,2
Septiembre 2024,2024,Septiembre,Concordia,7,0,0,0,7
Septiembre 2024,2024,Septiembre,Cosalá,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Culiacán,65,8,1,7,81
Septiembre 2024,2024,Septiembre,Choix,1,0,0,1,2
Septiembre 2024,2024,Septiembre,Elota,10,1,0,1,12
Septiembre 2024,2024,Septiembre,Escuinapa,0,1,0,1,2
Septiembre 2024,2024,Septiembre,El Fuerte,1,5,0,6,12
Septiembre 2024,2024,Septiembre,Guasave,2,2,0,4,8
Septiembre 2024,2024,Septiembre,Mazatlán,7,3,0,16,26
Septiembre 2024,2024,Septiembre,Mocorito,3,3,0,0,6
Septiembre 2024,2024,Septiembre,Rosario,0,1,0,0,1
Septiembre 2024,2024,Septiembre,Salvador Alvarado,0,3,0,3,6
Septiembre 2024,2024,Septiembre,San Ignacio,1,0,0,1,2
Septiembre 2024,2024,Septiembre,Sinaloa,1,0,0,0,1
Septiembre 2024,2024,Septiembre,Navolato,3,3,0,4,10
Septiembre 2024,2024,Septiembre,Eldorado,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Juan José Ríos,0,0,0,0,0
Octubre 2024,2024,Octubre,Ahome,3,8,0,16,27
Octubre 2024,2024,Octubre,Angostura,0,1,0,2,3
Octubre 2024,2024,Octubre,Badiraguato,0,1,0,0,1
Octubre 2024,2024,Octubre,Concordia,1,1,0,0,2
Octubre 2024,2024,Octubre,Cosalá,0,0,0,0,0
Octubre 2024,2024,Octubre,Culiacán,107,9,4,16,136
Octubre 2024,2024,Octubre,Choix,1,0,0,0,1
Octubre 2024,2024,Octubre,Elota,2,2,0,3,7
Octubre 2024,2024,Octubre,Escuinapa,3,4,0,2,9
Octubre 2024,2024,Octubre,El Fuerte,0,3,0,2,5
Octubre 2024,2024,Octubre,Guasave,2,5,0,5,12
Octubre 2024,2024,Octubre,Mazatlán,10,4,0,23,37
Octubre 2024,2024,Octubre,Mocorito,2,1,0,0,3
Octubre 2024,2024,Octubre,Rosario,2,1,0,0,3
Octubre 2024,2024,Octubre,Salvador Alvarado,2,0,0,0,2
Octubre 2024,2024,Octubre,San Ignacio,3,1,1,0,5
Octubre 2024,2024,Octubre,Sinaloa,0,4,0,0,4
Octubre 2024,2024,Octubre,Navolato,3,1,1,2,7
Octubre 2024,2024,Octubre,Eldorado,0,0,0,0,0
Octubre 2024,2024,Octubre,Juan José Ríos,0,0,0,0,0
Noviembre 2024,2024,Noviembre,Ahome,1,3,0,4,8
Noviembre 2024,2024,Noviembre,Angostura,0,1,0,0,1
Noviembre 2024,2024,Noviembre,Badiraguato,1,1,0,0,2
Noviembre 2024,2024,Noviembre,Concordia,0,0,0,0,0
Noviembre 2024,2024,Noviembre,Cosalá,0,0,0,0,0
Noviembre 2024,2024,Noviembre,Culiacán,99,11,0,7,117
Noviembre 2024,2024,Noviembre,Choix,0,0,0,0,0
Noviembre 2024,2024,Noviembre,Elota,4,1,0,1,6
Noviembre 2024,2024,Noviembre,Escuinapa,0,1,0,0,1
Noviembre 2024,2024,Noviembre,El Fuerte,1,1,0,4,6
Noviembre 2024,2024,Noviembre,Guasave,1,2,0,5,8
Noviembre 2024,2024,Noviembre,Mazatlán,12,5,1,17,35
Noviembre 2024,2024,Noviembre,Mocorito,0,0,0,1,1
Noviembre 2024,2024,Noviembre,Rosario,3,2,0,0,5
Noviembre 2024,2024,Noviembre,Salvador Alvarado,0,2,0,2,4
Noviembre 2024,2024,Noviembre,San Ignacio,1,0,0,0,1
Noviembre 2024,2024,Noviembre,Sinaloa,0,1,0,1,2
Noviembre 2024,2024,Noviembre,Navolato,3,2,0,3,8
Noviembre 2024,2024,Noviembre,Eldorado,4,1,0,0,5
Noviembre 2024,2024,Noviembre,Juan José Ríos,0,0,0,0,0
Diciembre 2024,2024,Diciembre,Ahome,4,4,0,11,19
Diciembre 2024,2024,Diciembre,Angostura,1,3,1,2,7
Diciembre 2024,2024,Diciembre,Badiraguato,0,0,0,0,0
Diciembre 2024,2024,Diciembre,Concordia,3,1,0,0,4
Diciembre 2024,2024,Diciembre,Cosalá,0,0,0,0,0
Diciembre 2024,2024,Diciembre,Culiacán,69,9,2,11,91
