Año,Mes,Municipio,Valor
2025,Mayo,Elota,74.0
2025,Mayo,Escuinapa,49.0
2025,Mayo,Guasave,243.0
2025,Mayo,Juan José Ríos,24.0
2025,Mayo,Mazatlán,742.0
2025,Mayo,Mocorito,39.0
2025,Mayo,Navolato,106.0
2025,Mayo,Rosario,34.0
2025,Mayo,Salvador Alvarado,66.0
2025,Mayo,San Ignacio,17.0
2025,Mayo,Sinaloa,18.0
2025,Junio,Ahome,565.0
2025,Junio,Angostura,31.0
2025,Junio,Badiraguato,8.0
2025,Junio,Choix,13.0
2025,Junio,Concordia,11.0
2025,Junio,Cosalá,2.0
2025,Junio,Culiacán,1408.0
2025,Junio,El Fuerte,56.0
2025,Junio,Eldorado,4.0
2025,Junio,Elota,54.0
2025,Junio,Escuinapa,34.0
2025,Junio,Guasave,252.0
2025,Junio,Juan José Ríos,16.0
2025,Junio,Mazatlán,702.0
2025,Junio,Mocorito,32.0
2025,Junio,Navolato,130.0
2025,Junio,Rosario,34.0
2025,Junio,Salvador Alvarado,68.0
2025,Junio,San Ignacio,13.0
2025,Junio,Sinaloa,17.0
2025,Julio,Ahome,508.0
2025,Julio,Angostura,28.0
2025,Julio,Badiraguato,9.0
2025,Julio,Choix,5.0
2025,Julio,Concordia,16.0
2025,Julio,Cosalá,3.0
2025,Julio,Culiacán,1272.0
2025,Julio,El Fuerte,52.0
2025,Julio,Eldorado,6.0
2025,Julio,Elota,44.0
2025,Julio,Escuinapa,52.0
2025,Julio,Guasave,245.0
2025,Julio,Juan José Ríos,20.0
2025,Julio,Mazatlán,548.0
2025,Julio,Mocorito,17.0
2025,Julio,Navolato,146.0
2025,Julio,Rosario,24.0
2025,Julio,Salvador Alvarado,56.0
2025,Julio,San Ignacio,11.0
2025,Julio,Sinaloa,42.0
